,Date,stocks,bonds,cash,gold,cpi,interest_rate,gdp,portfolio,stocks_performance,bonds_performance,cash_performance,gold_performance,gdp_var,portfolio_performance
1,1979-04-01,101.76000213623048,9.350000381469728,9.5600004196167,245.3,10.4851330203443,10.01,2591.247,91.49250073432923,1.8312837240729039,4.469280231609687,2.906355854384927,4.96362858365427,2.5582499871368896,4.00716254809042
2,1979-07-01,103.80999755859376,9.010000228881836,9.18000030517578,296.5,11.2633181126332,10.47,2667.565,104.62499952316284,2.0145394844026043,-3.636365119960004,-3.974896420100322,20.872401141459434,2.9452228984732045,14.353634104905538
3,1979-10-01,101.81999969482422,10.720000267028809,12.119999885559082,382.0,12.0715350223547,13.77,2723.883,126.66499996185303,-1.9169616709087478,18.978912260906668,32.02613815519919,28.8364249578415,2.1112137848562185,21.065711387468895
4,1980-01-01,114.16000366210938,11.130000114440918,12.0,653.0,13.909224011713,13.82,2789.842,197.57250094413757,12.119430371509239,3.824625347008009,-0.9900980750178263,70.94240837696336,2.421506356917689,55.980342638960536
5,1980-04-01,106.29000091552734,10.760000228881836,10.390000343322754,518.0,14.7308781869689,17.61,2797.352,161.36000037193298,-6.893835401298389,-3.324347544965562,-13.416663805643708,-20.673813169984683,0.26919087174110246,-18.328714977619
6,1980-07-01,121.66999816894533,10.760000228881836,8.619999885559082,614.3,13.1326949384405,9.03,2856.483,188.83749957084655,14.469843937287237,0.0,-17.035615007473808,18.590733590733578,2.1138204988146185,17.028693068652842
7,1980-10-01,127.47000122070312,12.460000038146973,12.710000038146973,629.0,12.7659574468085,12.81,2985.557,195.41000032424927,4.766995265097478,15.799254396872797,47.44779822375392,2.3929676054045217,4.518633578424925,3.4805061327010947
8,1981-01-01,129.5500030517578,12.68000030517578,14.59000015258789,506.5,11.8251928020566,19.08,3124.206,165.83000087738037,1.6317579125564947,1.7656522179395182,14.791503609743572,-19.475357710651835,4.643991054265612,-15.137403100038881
9,1981-04-01,132.80999755859375,14.109999656677246,14.859999656677246,482.8,10.0,15.72,3162.532,161.14499921798705,2.5163986337642257,11.277597137894091,1.85057917248524,-4.679170779861792,1.226743691037015,-2.8251834014386645
10,1981-07-01,130.9199981689453,14.670000076293944,14.869999885559082,406.0,10.7617896009674,19.04,3260.609,141.61499953269958,-1.4230851776159312,3.968819512704158,0.0672962928188241,-15.907207953603972,3.10121763194806,-12.119519550754703
11,1981-10-01,121.88999938964844,14.630000114440918,12.75,427.0,10.1415094339623,15.08,3280.818,144.06749987602234,-6.897341052238744,-0.27266504188820306,-14.256892413414931,5.172413793103445,0.6197921921947938,1.7318083193273992
12,1982-01-01,120.4000015258789,14.140000343322754,12.520000457763672,387.0,8.39080459770114,13.22,3274.302,133.51500058174133,-1.222411905185453,-3.3492807059823377,-1.8039179783241366,-9.367681498829043,-0.1986090054370493,-7.324691067285812
13,1982-04-01,116.44000244140624,13.869999885559082,12.34000015258789,361.3,6.50953984287317,14.94,3331.972,125.98750061988831,-3.2890357427624366,-1.9094798529561103,-1.4377020654513046,-6.640826873385009,1.7612914141701026,-5.637943249114159
14,1982-07-01,107.08999633789062,13.68000030517578,10.170000076293944,342.9,6.44104803493449,12.59,3366.322,118.45999917984008,-8.029891710300006,-1.369859999646593,-17.585089541825198,-5.092720730694722,1.030921028147901,-5.974800200822415
15,1982-10-01,133.72000122070312,10.710000038146973,7.900000095367432,423.3,5.1391862955032,9.71,3402.561,143.90750033855437,24.86693976418624,-21.71052778343227,-22.320550284142413,23.44706911636048,1.0765161502672669,21.481935957201188
16,1983-01-01,145.3000030517578,10.800000190734863,8.100000381469727,499.5,3.71155885471899,8.68,3473.413,165.9250009059906,8.65988761990964,0.8403375561841955,2.531649160606662,18.001417434443653,2.082313880632853,15.299758883753967
17,1983-04-01,164.42999267578125,10.270000457763672,8.079999923706055,429.3,3.89884088514226,8.8,3578.848,153.01999826431273,13.16585631261762,-4.90740484825055,-0.24691922002159572,-14.054054054054049,3.0354869979469754,-7.777611915753155
18,1983-07-01,162.55999755859375,11.760000228881836,9.220000267028809,422.0,2.46153846153846,9.37,3689.179,151.3849995136261,-1.1372591379205943,14.50827365827223,14.108915273353986,-1.700442580945733,3.082863535975818,-1.0684869750569987
19,1983-10-01,163.5500030517578,11.739999771118164,8.510000228881836,382.0,2.85132382892057,9.48,3794.706,141.45000076293945,0.6090092938191702,-0.1700719164490465,-7.7006509499350955,-9.478672985781984,2.860446728120266,-6.562736587248466
20,1984-01-01,163.41000366210938,11.670000076293944,8.890000343322754,373.8,4.1922290388548,9.56,3908.054,139.4425010204315,-0.08560035893373197,-0.5962495416433313,4.465336124801112,-2.1465968586387447,2.9870034727327948,-1.4192292199929852
21,1984-04-01,160.0500030517578,12.81999969482422,9.720000267028809,375.8,4.56389452332656,10.29,4009.601,139.5975007534027,-2.0561780399315097,9.85432400181682,9.33633173962096,0.5350454788657117,2.598403195042849,0.11115673617219102
22,1984-07-01,150.66000366210938,12.90999984741211,10.399999618530272,342.4,4.2042042042042,11.23,4084.25,129.09250078201293,-5.866916095347932,0.7020292880679477,6.995877909675443,-8.887706226716347,1.8617563193943738,-7.525206335854634
23,1984-10-01,166.08999633789062,11.789999961853027,9.010000228881836,333.5,4.25742574257425,9.99,4148.551,130.09749913215637,10.241598500413332,-8.675444607256082,-13.365379236858772,-2.599299065420553,1.5743649384831997,0.7785102496701057
24,1985-01-01,179.6300048828125,11.170000076293944,8.050000190734863,306.7,3.53287536800785,8.35,4230.168,126.38750128746032,8.152211959458612,-5.258692854665952,-10.654828121642694,-8.035982008995504,1.9673616161401668,-2.851705735655486
25,1985-04-01,179.8300018310547,11.40999984741211,7.849999904632568,321.4,3.68574199806014,8.27,4294.887,130.12250039577484,0.11133827467892843,2.1486102907690707,-2.4844755448886247,4.792957287251369,1.52993923645586,2.955196574239949
26,1985-07-01,190.9199981689453,10.56999969482422,7.28000020980835,327.5,3.55427473583095,7.88,4386.773,134.06749951839447,6.166933339804643,-7.36196462595403,-7.261142697439283,1.8979464841319356,2.1394276496681073,3.03175785173255
27,1985-10-01,189.82000732421875,10.010000228881836,7.190000057220459,325.1,3.22886989553657,7.99,4444.094,133.03000190258027,-0.5761527630820353,-5.298008345417443,-1.236265796622277,-0.7328244274809066,1.3066780524089125,-0.7738621362680504
28,1986-01-01,211.77999877929688,9.079999923706056,6.96999979019165,350.5,3.88625592417063,8.14,4507.894,144.58249962329865,11.568849756479963,-9.290712126983294,-3.059808974658864,7.812980621347279,1.4356131981006826,8.684129561374007
29,1986-04-01,235.5200042724609,7.380000114440918,6.099999904632568,345.8,1.59027128157157,6.99,4545.34,148.7000010728836,11.209748621211531,-18.722465017062177,-12.482064730954036,-1.340941512125525,0.8306761427841849,2.847856040885219
30,1986-07-01,236.1199951171875,7.340000152587891,5.789999961853027,357.5,1.57699443413728,6.56,4607.669,151.6874988079071,0.2547515429018432,-0.5420048947527363,-5.081966354525932,3.383458646616532,1.3712725560684191,2.0090771442289537
31,1986-10-01,243.97999572753903,7.340000152587891,5.199999809265137,401.0,1.47194112235511,5.85,4657.627,164.37999892234802,3.3288161836741352,0.0,-10.18998543134822,12.167832167832174,1.084235868505317,8.367532073631438
32,1987-01-01,274.0799865722656,7.179999828338623,5.599999904632568,400.5,1.45985401459854,6.43,4722.156,171.8399965763092,12.337073273146657,-2.179840884510824,7.6923098084489965,-0.12468827930175053,1.3854479974459082,4.538263598289262
33,1987-04-01,288.3599853515625,8.210000038146973,5.53000020980835,453.3,3.77532228360957,6.37,4806.16,188.84999639987944,5.2101574280877685,14.345407164817175,-1.2499945717197534,13.18352059925094,1.7789331822159085,9.898743111308534
34,1987-07-01,318.6600036621094,8.65999984741211,6.070000171661377,462.5,3.9269406392694,6.58,4884.555,198.97250092029572,10.507705593619619,5.4811182359836295,9.764917565378212,2.029560997132137,1.6311358756262848,5.36007662874529
35,1987-10-01,251.7899932861328,8.880000114440918,5.269999980926514,468.8,4.53309156844969,7.29,5007.994,183.68499834537505,-20.984751649875093,2.540418832623331,-13.179574433453439,1.3621621621621642,2.5271288786798323,-7.6832238144529015
36,1988-01-01,257.07000732421875,8.260000228881836,5.639999866485596,458.0,4.04676258992805,6.83,5073.372,182.24250185489655,2.0969912144545617,-6.981980603252694,7.020870719131068,-2.3037542662116124,1.3054728100712794,-0.7853099074352485
37,1988-04-01,261.3299865722656,8.869999885559082,5.980000019073486,449.0,3.9041703637977,6.87,5190.036,181.29499661922455,1.657128068882102,7.384983532377248,6.028371642493525,-1.965065502183407,2.2995356934204665,-0.5199145237955634
38,1988-07-01,272.0199890136719,9.119999885559082,6.949999809265137,436.8,4.13005272407734,7.75,5282.835,181.222497177124,4.090614545089764,2.8184893261049098,16.220732225715565,-2.717149220489972,1.7880222796142533,-0.03998976444606228
39,1988-10-01,278.9700012207031,8.649999618530273,7.360000133514404,412.4,4.24978317432784,8.3,5399.509,176.84500024318694,2.554963784915799,-5.1535117645453425,5.899285402895856,-5.586080586080584,2.2085490082503156,-2.4155372551006025
40,1989-01-01,297.4700012207031,9.010000228881836,8.390000343322754,394.0,4.66724286949006,9.12,5511.253,177.21750044822693,6.631537412283976,4.161856950610243,13.994567814179163,-4.461687681862273,2.069521506492535,0.21063654868824244
41,1989-04-01,309.6400146484375,9.020000457763672,8.40999984741211,377.6,5.12382578992315,9.84,5612.463,176.16750373840333,4.091173354554513,0.11099032883240056,0.23837310215692753,-4.162436548223354,1.8364244936677636,-0.5924904183660828
42,1989-07-01,346.0799865722656,7.820000171661377,7.800000190734863,368.3,4.97890295358649,9.24,5695.365,182.49999673366545,11.768495736961441,-13.303771898031712,-7.253265966050563,-2.462923728813564,1.4771055060853087,3.5945863231765287
43,1989-10-01,340.3599853515625,7.920000076293945,7.769999980926514,375.3,4.49251247920134,8.84,5747.237,182.83749635219573,-1.6527974579970959,1.278771130913185,-0.38461806506087726,1.900624490904164,0.9107756921637105,0.18493130113466805
44,1990-01-01,329.0799865722656,8.430000305175781,7.739999771118164,415.1,5.20231213872832,8.23,5872.701,190.0874966621399,-3.3141377555430296,6.439396767284933,-0.38610308728434006,10.604849453770314,2.183031602838014,3.9652699553371065
45,1990-04-01,330.79998779296875,9.039999961853027,7.789999961853027,367.8,4.71161657189277,8.26,5960.028,178.8574969291687,0.5226696520255842,7.236057349876049,0.6459973154190379,-11.394844615755233,1.4869989124254772,-5.907805579096731
46,1990-07-01,356.1499938964844,8.359999656677246,7.489999771118164,372.3,4.82315112540193,8.15,6015.116,186.07499833106993,7.663242756641495,-7.522127301385453,-3.851093609806668,1.2234910277324644,0.9242909597068945,4.035336245793218
47,1990-10-01,304.0,8.649999618530273,7.110000133514404,379.5,6.28980891719745,8.11,6004.733,174.81499993801117,-14.642705261885212,3.468899207685979,-5.073426558289867,1.933924254633368,-0.17261512496183684,-6.051322581782131
48,1991-01-01,343.92999267578125,8.029999732971191,6.190000057220459,366.0,5.65149136577707,6.91,6035.178,181.03749811649323,13.134866011770143,-7.167629050883434,-12.93952263034906,-3.5573122529644223,0.5070167149813187,3.559476120864076
49,1991-04-01,375.3399963378906,8.020000457763672,5.510000228881836,357.8,4.88750969743985,5.91,6126.862,186.66749925613402,9.132673605386671,-0.12452397932794668,-10.985457545277768,-2.2404371584699447,1.5191598325683202,3.109853592882743
50,1991-07-01,387.80999755859375,8.199999809265137,5.53000020980835,362.9,4.44785276073618,5.82,6205.937,191.1099993944168,3.3223214531811607,2.244380813310528,0.3629760452945163,1.425377305757408,1.2906280572338602,2.3799001732953258
51,1991-10-01,392.4500122070313,7.46999979019165,4.820000171661377,357.5,2.92134831460675,5.21,6264.54,190.56000304222107,1.1964659698429898,-8.902439464067584,-12.839059877207106,-1.4880132267842328,0.9443054288176,-0.2877904630519339
52,1992-01-01,408.7799987792969,7.309999942779541,3.839999914169312,354.1,2.60029717682022,4.03,6363.102,193.50749965906144,4.16103607193952,-2.141898954564823,-20.331954825517656,-0.9510489510489464,1.5733318008983872,1.5467551268811235
53,1992-04-01,414.9500122070313,7.610000133514404,3.700000047683716,336.4,3.18047337278108,3.73,6470.763,190.66500309705737,1.5093726322617016,4.103969809619329,-3.6458299378863757,-4.99858796950015,1.6919577903984617,-1.4689335384996554
54,1992-07-01,424.2099914550781,6.71999979019165,3.180000066757202,357.9,3.15712187958885,3.25,6566.641,198.00249782800674,2.23158910124981,-11.695142282628836,-14.054053357432934,6.391200951248521,1.4817108894267932,3.848369974438498
55,1992-10-01,418.6799926757813,6.800000190734863,2.9600000381469727,339.3,3.20232896652111,3.1,6680.803,191.9349982261658,-1.303599370757027,1.1904821881092857,-6.918239748170009,-5.196982397317669,1.7385144094218106,-3.064355080566429
56,1993-01-01,438.7799987792969,6.389999866485596,2.900000095367432,330.5,3.25850832729905,3.02,6729.459,194.64249968528748,4.800804063995628,-6.029416363956884,-2.02702506778013,-2.5935750073681163,0.7282956854138547,1.410634581573973
57,1993-04-01,440.1900024414063,6.050000190734863,2.9100000858306885,354.3,3.2258064516129,2.96,6808.939,200.86250067949297,0.32134638452802733,-5.320808808368994,0.3448272460139208,7.201210287443274,1.181075625841558,3.1956027097177895
58,1993-07-01,448.1300048828125,5.829999923706055,3.0299999713897705,401.8,2.77580071174378,3.06,6882.098,214.69750119447707,1.8037670999725037,-3.6363679354212763,4.123707285899499,13.406717471069712,1.0744552124787816,6.887796611205175
59,1993-10-01,467.8299865722656,5.388000011444092,3.0299999713897705,369.6,2.75035260930886,2.99,7013.738,211.46199663877488,4.396041656394928,-7.581473722918844,0.0,-8.01393728222996,1.912788803646805,-1.5070061541011626
60,1994-01-01,481.6099853515625,5.638000011444092,2.970000028610229,377.9,2.52454417952314,3.05,7115.652,217.0294963479042,2.9455142198689117,4.6399405989049995,-1.9801961500356526,2.2456709956709915,1.4530625466762501,2.632860654692422
61,1994-04-01,450.9100036621094,7.034999847412109,3.859999895095825,376.5,2.36111111111111,3.56,7246.931,209.57625085115433,-6.374448749654334,24.778287214125,29.966325182227678,-0.3704683778777422,1.8449328325780954,-3.434208539470646
62,1994-07-01,458.260009765625,7.09499979019165,4.269999980926514,384.0,2.77008310249306,4.26,7331.075,213.4062523841858,1.630038376576664,0.8528776699492369,10.62176417029437,1.9920318725099548,1.1610984015164547,1.8274978760602067
63,1994-10-01,472.3500061035156,7.793000221252441,5.019999980926514,383.9,2.60809883321896,4.76,7455.288,217.26575157642364,3.074672901328853,9.837920390437915,17.56440288876216,-0.026041666666671404,1.6943354146561092,1.8085220789547236
64,1995-01-01,470.4200134277344,7.592999935150146,5.840000152587891,374.9,2.80437756497949,5.53,7522.289,214.6882533788681,-0.408593765394869,-2.566409347158384,16.334664836194563,-2.3443605105496204,0.8987043827146692,-1.1863343296648878
65,1995-04-01,514.7100219726562,7.046000003814697,5.690000057220459,389.8,3.05291723202172,6.05,7580.997,229.31150550842284,9.414992406934601,-7.204002844820678,-2.56849471657911,3.9743931715124035,0.7804539283188916,6.811389025438913
66,1995-07-01,562.0599975585938,6.428999900817871,5.420000076293945,383.4,2.76280323450136,5.85,7683.125,239.3272493839264,9.199349840608477,-8.756742870604356,-4.745166576648643,-1.6418676244227868,1.3471579002075913,4.36774589800757
67,1995-10-01,581.5,6.002999782562256,5.309999942779541,382.7,2.80936454849497,5.76,7772.586,243.87824993133546,3.458705925674721,-6.626226859972746,-2.029522730000025,-0.1825769431403188,1.1643829821850034,1.901580601090842
68,1996-01-01,636.02001953125,5.580999851226807,4.909999847412109,405.6,2.72787757817697,5.56,7868.468,263.0277548074722,9.375755723344795,-7.029817534914642,-7.532958562670913,5.983799320616683,1.233592011719125,7.852075731037232
69,1996-04-01,654.1699829101562,6.632999897003174,5.010000228881836,391.3,2.89664252797894,5.22,8032.84,264.2782457590103,2.8536780009350764,18.849669840881973,2.0366677103347257,-3.525641025641022,2.0889962315408894,0.4754216726875029
70,1996-07-01,639.9500122070312,6.789999961853027,5.179999828338623,385.3,2.95081967213114,5.4,8131.408,259.3050029993057,-2.1737424636736904,2.3669541276608186,3.393205422961202,-1.533350370559674,1.2270629067677277,-1.8818207096166333
71,1996-10-01,705.27001953125,6.348999977111816,5.010000228881836,379.5,2.99284320104101,5.24,8259.771,274.0322549343109,10.207048375379514,-6.494845172589066,-3.281845658116765,-1.5053205294575633,1.5786072965469344,5.679509367215957
72,1997-01-01,786.1599731445312,6.502999782562256,5.010000228881836,345.5,3.0440414507772,5.25,8362.655,285.79324328899384,11.469359447186463,2.4255757758010645,0.0,-8.959156785243735,1.2456035403402836,4.2918262879317695
73,1997-04-01,801.3400268554688,6.702000141143799,5.099999904632568,340.2,2.49520153550862,5.51,8518.825,288.3355067253113,1.9309115484752226,3.0601317120625,1.7964006315189067,-1.5340086830680235,1.8674691231433087,0.8895463752257768
74,1997-07-01,954.3099975585938,6.004000186920166,5.099999904632568,326.4,2.22929936305732,5.52,8662.823,322.95349941253664,19.089271167870294,-10.414800649414914,0.0,-4.0564373897707355,1.6903504884769944,12.006149738680946
75,1997-10-01,914.6199951171876,5.818999767303467,5.059999942779541,311.4,2.08464939987364,5.5,8765.907,309.22474870681765,-4.159026159523094,-3.081286040259073,-0.784312992176595,-4.595588235294116,1.1899585158325294,-4.250999209078714
76,1998-01-01,980.280029296875,5.51200008392334,5.039999961853027,304.9,1.5713387806411,5.56,8866.48,323.93300733566286,7.17894147626572,-5.275815357566017,-0.3952565445193983,-2.0873474630700173,1.1473199521738024,4.756494650041859
77,1998-04-01,1111.75,5.666999816894531,4.849999904632568,310.7,1.43570536828965,5.45,8969.699,358.2417499303818,13.41147088321533,2.812041556807543,-3.7698424337011858,1.9022630370613314,1.1641485685413073,10.59130802288631
78,1998-07-01,1120.6700439453125,5.49399995803833,4.949999809265137,288.9,1.6822429906542,5.54,9121.097,355.003510928154,0.8023426080784759,-3.052759210269457,2.0618537443073137,-7.016414547795307,1.6878827260535587,-0.9039256320228048
79,1998-10-01,1098.6700439453125,4.603000164031982,4.210000038146973,292.3,1.4851485148515,5.07,9293.991,349.94576103687285,-1.9631112760495597,-16.21768840210339,-14.949490901657683,1.1768778123918366,1.895539538719973,-1.4247041889973673
80,1999-01-01,1279.6400146484375,4.652999877929688,4.360000133514404,285.4,1.67079207920794,4.63,9411.682,393.5132536649704,16.471730680238068,1.0862418447951825,3.562947601146675,-2.3605884365378103,1.2663128251361684,12.449784360584658
81,1999-04-01,1335.1800537109375,5.349999904632568,4.429999828338623,286.6,2.27692307692307,4.74,9526.21,407.89001336097715,4.340286207583063,14.979584031560393,1.6054975385469703,0.4204625087596412,1.2168706932512094,3.653437225330862
82,1999-07-01,1328.719970703125,5.9070000648498535,4.619999885559082,255.6,2.14460784313725,4.99,9686.626,398.71174266338346,-0.4838360931065182,10.411218133573769,4.288940509772317,-10.816468946266582,1.683943562025192,-2.2501827445995985
83,1999-10-01,1362.9300537109375,6.002999782562256,4.960000038146973,299.1,2.56097560975609,5.2,9900.169,418.24826338291166,2.574664621749406,1.6251856552983241,7.359310844371294,17.018779342723022,2.2045137285160052,4.899911045765748
84,2000-01-01,1394.4599609375,6.666999816894531,5.53000020980835,283.3,2.73889227023737,5.45,10002.179,422.4892402410507,2.313391442261775,11.061137071187119,11.491938856402228,-5.282514209294547,1.0303864509787672,1.013985527121335
85,2000-04-01,1452.4300537109375,6.214000225067139,5.650000095367432,275.1,3.06859205776174,6.02,10247.72,434.848513507843,4.1571715500862325,-6.794654331315073,2.169979765032238,-2.894458171549587,2.454875082719468,2.925346278579937
86,2000-07-01,1430.8299560546875,6.02899980545044,6.019999980926514,276.8,3.65926814637075,6.54,10318.165,429.9197389602661,-1.4871695611821139,-2.9771550195703327,6.54867043033245,0.6179571065067222,0.6874212019844634,-1.1334463369363732
87,2000-10-01,1429.4000244140625,5.756999969482422,6.150000095367432,264.5,3.44827586206897,6.51,10435.744,426.4517561197281,-0.09993721717764004,-4.51152504138615,2.159470346392098,-4.443641618497125,1.1395340159805443,-0.8066582029764788
